Time (UTC),1915Hall.kW,1915Hall.kWh,1927Hall.kW,1927Hall.kWh,1937Feinberg.kW,1937Feinberg.kWh,1938Hall.kW,1938Hall.kWh,1939Hall.kW,1939Hall.kWh,Blair.kW,Blair.kWh,Bloomberg.kW,Bloomberg.kWh,Butler.kW,Butler.kWh,Butler.wv.kW,Butler.wv.kWh,Buyers.kW,Buyers.kWh,CampbellR.kW,CampbellR.kWh,DodgeOsborn.kW,DodgeOsborn.kWh,Edwards.kW,Edwards.kWh,Forbes.kW,Forbes.kWh,Gauss.kW,Gauss.kWh,Hamilton.kW,Hamilton.kWh,Holder.kW,Holder.kWh,JolineCampbell.kW,JolineCampbell.kWh,JolineCampbellM.kW,JolineCampbellM.kWh,Little.kW,Little.kWh,Mathey.wv.kW,Mathey.wv.kWh,Rocky.wv.kW,Rocky.wv.kWh,Whitman.kW,Whitman.kWh,Wilcox.kW,Wilcox.kWh,Wilson.wv.kW,Wilson.wv.kWh,Witherspoon.kW,Witherspoon.kWh
2018-12-01T04:00:00Z,15,336012,16.1,449786,11.533,7180.421,7,283422,13.2,586731,31.84,21753.576,76.9,111773,124,8639388,215.9,9087173,3.6,163014,18.0603960396,381590.524752,9,349799,26.3,1425018,139.3,5529883,4.4,219230,23.4,562207,74.3,3317232,49.3,1041639,31.2396039604,660048.475248,66.4,4739657,179.17960396,7408684.05125,132.56039604,6570252.52475,207.4,24546660,119.6,2821452,180.833,4717600.421,36.6,2708416
2018-12-01T05:00:00Z,16,336014,20,449788,11.085,7180.421,7,283422,13.3,586731,31.84,21755.17,76.9,111778,127.433,8639393,220.333,9087185,3.5,163014,17.6940594059,381590.524752,9,349799,26.3,1425018,138.8,5529894,4.2,219230,17.8,562209,74.3,3317237,48.3,1041639,30.6059405941,660048.475248,66.4,4739662,172.945940594,7408692.64525,127.794059406,6570257.52475,173,24546672,119.6,2821458,184.185,4717608.421,32.3,2708416
2018-12-01T06:00:00Z,11,336026,12.2,449803,9.703,7189.509,6.3,283429,25.9,586756,40.55,21787.281,91.9,111850,102.683,8639504,205.583,9087380,3.3,163018,19.3792079208,381608.841584,11.1,349811,13.3,1425037,136,5530036,4.1,219235,17.9,562225,76.3,3317317,52.9,1041689,33.5207920792,660080.158416,67.3,4739725,172.570792079,7408854.43942,127.079207921,6570394.84158,166.1,24546828,139.9,2821596,209.203,4717819.509,28.1,2708451
2018-12-01T07:00:00Z,10,336037,13.4,449818,9.558,7200.67,6.2,283435,8.4,586771,28.358,21822.68,63,111921,104.95,8639608,177.95,9087566,3.6,163024,15.2762376238,381625.326733,12.6,349821,12.5,1425050,137.1,5530179,4.3,219239,17.1,562244,57.2,3317378,41.7,1041734,26.4237623762,660108.673267,58.2,4739786,142.581762376,7409011.35327,101.576237624,6570508.32673,157.8,24546984,112.6,2821719,167.058,4718003.67,25.5,2708481
2018-12-01T08:00:00Z,10,336046,10.4,449828,9.608,7208.772,5.2,283441,11.6,586781,28.46,21852.852,61.8,111985,82.367,8639694,154.167,9087725,3.3,163028,15.496039604,381639.980198,10.1,349830,12.6,1425062,120.5,5530305,3.8,219244,15.3,562259,57.8,3317438,42.3,1041774,26.803960396,660134.019802,53,4739841,136.163960396,7409148.8718,100.196039604,6570611.9802,142.4,24547134,113.9,2821830,164.608,4718162.772,23.6,2708506
2018-12-01T09:00:00Z,9,336055,10.5,449839,9.332,7219.971,4.7,283446,6.8,586791,26.863,21879.357,60,112046,66.617,8639766,135.617,9087867,3,163031,13.3712871287,381654.633663,9.4,349840,11.7,1425075,121.5,5530426,3.6,219247,15.8,562274,50.2,3317493,36.5,1041814,23.1287128713,660159.366337,50.8,4739891,128.291712871,7409278.72334,87.4712871287,6570709.63366,126.6,24547270,104.7,2821945,149.032,4718327.971,20.9,2708531
2018-12-01T10:00:00Z,9,336065,10.1,449849,8.387,7228.954,4.4,283451,7.8,586797,26.287,21905.379,61.8,112107,60.317,8639826,131.117,9087998,2.6,163034,12.9316831683,381669.287129,11.4,349849,12.2,1425087,120.4,5530548,3.7,219251,15.2,562291,50.3,3317543,35.3,1041854,22.3683168317,660184.712871,48.9,4739941,124.955316832,7409409.09187,87.5316831683,6570798.28713,133.2,24547394,116.4,2822053,162.187,4718478.954,21.7,2708552
2018-12-01T11:00:00Z,9,336074,11,449860,8.497,7237.395,4.3,283456,6.6,586804,26.12,21931.361,57.7,112166,55.283,8639887,121.983,9088127,2.5,163037,12.9316831683,381682.108911,7.2,349859,11.4,1425098,129.8,5530675,3.5,219255,15.8,562306,48.4,3317594,35.3,1041889,22.3683168317,660206.891089,47.9,4739991,123.588316832,7409533.25209,85.4316831683,6570887.10891,150.9,24547524,134.6,2822176,175.697,4718647.395,21.6,2708574
2018-12-01T12:00:00Z,9,336083,13.2,449873,8.592,7244.414,6.1,283461,15,586812,26.137,21958.141,56.3,112224,81.617,8639964,146.917,9088271,2.4,163039,13.4079207921,381694.930693,5,349866,10.4,1425109,133.4,5530821,3.6,219259,15.1,562321,49.3,3317643,36.6,1041924,23.1920792079,660229.069307,48.6,4740041,123.429079208,7409658.21031,87.9079207921,6570972.93069,169.8,24547698,162.8,2822332,214.292,4718847.414,22.8,2708596
2018-12-01T13:00:00Z,8,336091,9.6,449884,8.953,7254.313,5,283464,12.4,586826,26.158,21983.789,61.1,112289,71.55,8640039,140.65,9088419,2.5,163042,12.6386138614,381707.752475,4.8,349874,10.5,1425120,167.9,5530971,3.4,219262,15.5,562337,49.1,3317693,34.5,1041959,21.8613861386,660251.247525,48.1,4740086,122.119386139,7409778.03652,86.5386138614,6571060.75248,198.7,24547884,189.1,2822503,233.253,4719067.313,22.3,2708618
