Time (UTC),Boilers.1.NGas_dthr,Boilers.2.NGas_dthr,Boilers.2.Oil_gpm,Chillers.i.Totals.ktons,Cogen.DB_NGas_dthr,Cogen.Turbine.NGas_dthr,Cogen.Turbine.output_kW,MicroTurbines.Total_kW,Plant.i.Campus_STMF_kpph,Plant.i.Total_STMF_kpph,Power.Charlton.Total_kW,Power.ElmSub.Total_kW,SMPL.SteamPress7041,WestWindsor.PV_kW,electricity.purchased_kW,electricity.total_kW,natural_gas.total_dthr
2016-07-01T04:00:00Z,None,None,None,5.704034,None,100.4511,6960,None,36.93784,36.93784,4571.321,6937.487,215.5678,None,11544.581,18500.581,107.722311
2016-07-01T05:00:00Z,None,None,None,5.747161,7.371129,100.1213,6960,None,35.95007,35.95007,4484.322,7002.033,218.718,None,11481.893,18435.893,107.436611
2016-07-01T06:00:00Z,None,None,None,5.663941,7.404573,92.94695,6137,None,36.51712,36.51712,4476.074,7596.98,216.5202,-15,12077.519,18199.519,100.332405
2016-07-01T07:00:00Z,None,None,None,5.534121,7.420568,92.91088,6137,None,39.62196,39.62196,4507.177,7479.9,191.9048,-14,12015.455,18132.455,100.364433
2016-07-01T08:00:00Z,None,None,None,5.322462,5.402811,104.0993,7449,None,35.25517,35.25517,4393.815,6261.55,227.5824,-15,10674.718,18116.718,111.299325
2016-07-01T09:00:00Z,None,None,None,5.582611,None,103.2269,7451,None,37.55425,37.55425,4516.674,6724.146,203.0403,-15,11228.211,18663.211,103.5054
2016-07-01T10:00:00Z,None,None,None,6.110518,0.5212006,103.9218,7459,None,35.17949,35.17949,4532.235,6973.089,200.0366,67,11368.076,18884.076,103.836
2016-07-01T11:00:00Z,None,None,None,7.285176,7.937887,103.8317,7463,None,40.00549,40.00549,4423.467,7201.172,210.1465,608,11734.437,19582.437,111.250218
2016-07-01T12:00:00Z,None,None,None,8.957652,10.59058,99.95777,6975,None,41.5834,41.5834,2559.883,9383.896,207.5092,2746,11904.024,21601.024,110.64843
2016-07-01T13:00:00Z,None,None,None,9.337086,34.09243,95.20817,6425,None,46.42651,64.15909,4511.991,10029.5,200.9158,963,14525.93,22008.93,125.76918
2016-07-01T14:00:00Z,None,None,None,10.39567,40.80519,99.76215,6963,None,43.86584,74.08288,5129.672,9723.707,209.0476,649,15025.442,22495.442,143.91187
2016-07-01T15:00:00Z,None,None,None,10.21275,59.32898,None,12947,None,43.88374,102.0447,4410.74,2328.711,211.0257,1397,6840.21,21255.21,54.17529
2016-07-01T16:00:00Z,None,None,None,11.13342,53.42759,13.58147,12954,None,46.39667,107.0829,2700.405,2217.159,206.1905,3103,4625.937,20798.937,60.3423
2016-07-01T17:00:00Z,None,None,None,11.15724,67.09641,None,10942,None,42.95478,102.3939,2301.695,4319.978,205.5311,3721,7834.256,20923.256,60.22096
2016-07-01T18:00:00Z,None,None,None,11.15969,66.6043,None,9938,None,42.76516,101.5867,1515.296,3691.804,213.0037,4364,5272.08,19539.08,56.23538
2016-07-01T19:00:00Z,None,None,None,10.49493,61.53302,14.58461,7902,None,50.22686,105.6749,1506.213,5824.249,210.293,4209,7184.458,19243.458,74.28966
2016-07-01T20:00:00Z,None,None,None,11.19048,53.33113,160.1533,13944,None,40.71309,100.8905,4709.51,-72.18051,209.9267,990,4616.04335,19579.04335,211.81228
2016-07-01T21:00:00Z,None,None,None,9.52507,40.70421,154.8463,13405,None,37.65353,84.79975,5478.198,-66.5082,206.2637,-2,5463.97719,18785.97719,196.40347
2016-07-01T22:00:00Z,None,None,None,9.030958,39.44451,149.5593,12720,None,40.19203,85.68104,4916.259,-59.08923,208.5348,307,4911.24813,18043.24813,196.50737
2016-07-01T23:00:00Z,None,None,None,9.553449,45.01292,145.7536,12345,None,37.72701,84.83199,3674.246,-75.95352,205.7509,1366,3437.4078,17548.4078,190.80781
2016-07-02T00:00:00Z,None,None,None,9.562731,44.20204,161.0495,13980,None,45.28934,94.51335,4768.83,-67.01057,207.7289,222,4681.27632,18970.27632,203.36825
2016-07-02T01:00:00Z,None,None,None,8.170049,41.06158,160.0805,13933,None,39.8564,87.11372,4866.278,-60.88575,206.044,-14,4837.66857,18637.66857,199.7439
2016-07-02T02:00:00Z,None,None,None,7.659225,40.38302,157.794,13594,None,39.07441,85.94327,4731.529,-59.16721,205.9707,-15,4718.77782,18301.77782,198.26435
2016-07-02T03:00:00Z,None,None,None,7.002697,42.85011,154.3386,13277,None,42.17576,89.05438,4687.935,-63.75098,208.9011,-14,4626.4895,17911.4895,197.47012
2016-07-02T04:00:00Z,None,None,None,6.784077,26.14162,146.6248,12508,None,40.03343,71.70992,4561.195,-50.9381,208.0952,-13,4551.85471,17005.85471,170.92746
2016-07-02T05:00:00Z,None,None,None,6.644182,41.55129,102.3696,7408,None,43.19308,73.89855,4504.636,4747.496,207.2894,-15,9252.132,16646.132,143.92089
2016-07-02T06:00:00Z,None,None,None,6.217847,39.67992,102.5291,7413,None,44.32248,72.70928,4518.157,4750.249,209.4872,-14,9244.588,16647.588,141.23659
2016-07-02T07:00:00Z,None,None,None,6.293055,37.63211,102.3343,7419,None,40.10947,65.81712,4438.567,4617.167,207.6557,-15,9058.714,16455.714,137.02687
2016-07-02T08:00:00Z,None,None,None,4.975616,32.37422,102.3034,7423,None,41.27926,64.41957,4489.194,4346.993,209.8535,None,8857.073,16261.073,135.93664
2016-07-02T09:00:00Z,None,None,None,4.599396,37.83082,102.5567,7422,None,45.01937,68.86562,4444.182,4330.425,210.4396,-15,8709.278,16109.278,139.25952
2016-07-02T10:00:00Z,None,None,None,4.751236,38.37012,102.8822,7439,None,41.52557,65.2851,4420.311,4259.345,209.0476,58,8522.493,16059.493,140.69761
2016-07-02T11:00:00Z,None,None,None,5.482231,35.47331,102.7251,7411,None,41.9454,66.16993,3069.558,4590.542,209.1941,1587,7602.176,16542.176,140.823
2016-07-02T12:00:00Z,None,None,None,5.640027,34.60539,103.0341,7411,None,41.8978,65.89687,1588.173,4120.092,207.0696,3098,5618.02,16223.02,136.09615
2016-07-02T13:00:00Z,None,None,None,5.760604,36.09532,105.2392,7866,None,46.18737,70.09526,952.107,3138.462,209.0476,3885,4261.4747,15782.4747,140.47581
2016-07-02T14:00:00Z,None,None,None,5.492338,36.12812,100.6379,7415,None,45.50508,68.67422,1062.246,3465.786,209.7802,3986,5492.2,15375.2,134.33059
2016-07-02T15:00:00Z,None,None,None,5.667336,33.72181,103.6625,7416,None,39.05975,62.73726,778.7318,3397.516,208.6813,4264,4067.2658,15732.2658,135.49516
2016-07-02T16:00:00Z,None,None,None,5.622869,37.9289,104.2156,7421,None,42.57277,66.69464,661.4495,3374.719,208.3883,4411,3932.4691,15756.4691,134.07464
2016-07-02T17:00:00Z,None,None,None,6.26848,36.73447,104.002,7405,None,45.68065,71.62901,678.7592,3684.331,209.1941,4366,4296.3947,16120.3947,139.09731
2016-07-02T18:00:00Z,None,None,None,6.186906,34.79297,104.1363,7400,None,45.08482,69.22709,2407.66,2000.421,208.9011,2264,3715.585,14241.585,135.73791
2016-07-02T19:00:00Z,None,None,None,6.152543,31.35055,104.3145,7410,None,39.67402,63.96769,2939.701,1938.344,206.7766,2148,3688.255,14199.255,136.93151
2016-07-02T20:00:00Z,None,None,None,6.252766,33.68465,104.3907,7417,None,41.92013,66.30849,2174.51,1940.066,207.5824,2471,5479.373,14072.373,138.43258
2016-07-02T21:00:00Z,None,None,None,6.147212,32.99591,104.1698,7408,None,42.43765,66.45124,3977.856,1829.018,210.3663,928,5799.535,14247.535,138.34198
2016-07-02T22:00:00Z,None,None,None,5.612427,32.96441,104.4973,7415,None,41.37959,65.50849,1777.636,1441.136,209.707,3215,3438.196,14014.196,136.6889
2016-07-02T23:00:00Z,None,None,None,5.4219,30.41785,104.2456,7408,None,41.89723,65.59817,4470.114,1344.312,208.8279,392,5795.541,13616.541,132.32807
2016-07-03T00:00:00Z,None,None,None,5.104511,31.78984,104.1379,7414,None,40.5705,63.56667,4756.58,2478.666,207.3626,64,7310.391,14799.391,139.2229
2016-07-03T01:00:00Z,None,None,None,4.663877,28.45132,103.9751,7415,None,38.15502,59.47869,4817.415,2528.445,206.7766,-14,7345.86,14746.86,132.42642
2016-07-03T02:00:00Z,None,None,None,4.322357,27.87793,104.0264,7433,None,38.94779,60.1885,4687.929,2386.595,210.4396,-15,7197.522,14603.522,131.74856
2016-07-03T03:00:00Z,None,None,None,4.154053,30.93502,104.4958,7437,None,44.30492,65.07922,4641.711,2368.094,208.0952,-15,6987.453,14393.453,131.80875
2016-07-03T04:00:00Z,None,None,None,3.892024,32.23318,103.1852,7416,None,42.91374,63.05007,4605.595,2142.51,209.707,-15,6851.994,14214.994,132.32074
2016-07-03T05:00:00Z,None,None,None,3.75879,25.18937,103.5282,7415,None,35.89676,55.38223,4532.542,2758.527,211.0989,-15,7301.355,14697.355,131.74593
2016-07-03T06:00:00Z,None,None,None,3.515977,23.52108,103.5459,7404,None,35.36038,53.35921,4447.673,2703.978,211.0257,-15,7125.598,14514.598,127.68813
2016-07-03T07:00:00Z,None,None,None,3.401652,24.14599,103.228,7408,None,38.48255,56.17294,4450.585,2604.957,210.8059,-15,7100.718,14498.718,132.38284
2016-07-03T08:00:00Z,None,None,None,3.332398,24.63215,103.2849,7407,None,41.09037,57.9417,4438.713,2347.5,208.6081,-14,6757.955,14147.955,127.16679
2016-07-03T09:00:00Z,None,None,None,3.286932,24.16522,103.5763,7401,None,39.57229,56.18784,4436.608,1140.111,209.3407,-14,5586.074,12981.074,129.37657
2016-07-03T10:00:00Z,None,None,None,3.281993,24.05359,104.7983,7402,None,38.67417,55.49503,4287.374,953.1055,207.8755,115,5087.0547,12790.0547,129.04775
2016-07-03T11:00:00Z,None,None,None,4.416118,30.34516,103.6416,7419,None,44.37408,62.46924,4241.923,1981.288,208.1685,369,6089.932,13850.932,129.40928
2016-07-03T12:00:00Z,None,None,None,4.732464,31.14457,103.5478,7421,None,41.50161,61.27137,3349.237,2346.901,206.2637,1252,5811.374,14261.374,137.21675
2016-07-03T13:00:00Z,None,None,None,5.440026,35.30091,104.4981,7685,None,44.25063,66.68712,1463.184,2724.71,207.9487,3304,4589.203,14937.203,139.98755
2016-07-03T14:00:00Z,None,None,None,5.964417,41.42737,97.15993,7408,None,50.44817,74.64575,1616.216,3959.487,211.4652,3062,5260.683,15260.683,140.67513
2016-07-03T15:00:00Z,None,None,None,6.177757,29.59292,104.3899,7393,None,38.58425,63.3366,1789.661,3452.039,208.315,3149,5560.45,15711.45,136.41077
2016-07-03T16:00:00Z,None,None,None,6.320883,36.01794,104.5439,7403,None,44.46967,70.86522,1123.659,3625.946,209.0476,3806,4773.686,15919.686,136.62034
