Time (UTC),1915Hall.kW,1915Hall.kWh,1927Hall.kW,1927Hall.kWh,1937Feinberg.kW,1937Feinberg.kWh,1938Hall.kW,1938Hall.kWh,1939Hall.kW,1939Hall.kWh,Blair.kW,Blair.kWh,Bloomberg.kW,Bloomberg.kWh,Butler.kW,Butler.kWh,Butler.wv.kW,Butler.wv.kWh,Buyers.kW,Buyers.kWh,CampbellR.kW,CampbellR.kWh,DodgeOsborn.kW,DodgeOsborn.kWh,Edwards.kW,Edwards.kWh,Forbes.kW,Forbes.kWh,Gauss.kW,Gauss.kWh,Hamilton.kW,Hamilton.kWh,Holder.kW,Holder.kWh,JolineCampbell.kW,JolineCampbell.kWh,JolineCampbellM.kW,JolineCampbellM.kWh,Little.kW,Little.kWh,Mathey.wv.kW,Mathey.wv.kWh,Rocky.wv.kW,Rocky.wv.kWh,Whitman.kW,Whitman.kWh,Wilcox.kW,Wilcox.kWh,Wilson.wv.kW,Wilson.wv.kWh,Witherspoon.kW,Witherspoon.kWh
2018-03-01T04:00:00Z,10,269027,29.9,380914,11.662,6952.367,6.6,245624,26.8,510907,26.547,19807.602,70,9703674,117.7,8082510,197.7,18055211,6.8,135770,15.4227722772,310090.039604,10.4,306104,19.2,1336268,149,4555673,5,191939,13,464057,55.5,2948655,42.1,846462,26.6772277228,536371.960396,65.4,4399777,150.824227723,6756281.5624,110.622772277,5931663.0396,185.7,23376748,111.1,1912670,201.462,3555110.367,32.9,2537148
2018-03-01T05:00:00Z,10,269029,12.6,380916,11.263,6953.497,6.6,245624,22.4,510907,26.547,19811.115,72.5,9703679,114.883,8082516,197.383,18055224,8.7,135770,13.4811881188,310091.871287,13,306105,19.2,1336272,162,4555678,5.1,191939,13,464057,54.5,2948660,36.8,846467,23.3188118812,536375.128713,68.3,4399782,150.365811881,6756297.24371,102.381188119,5931669.87129,177.8,23376762,110.7,1912681,181.663,3555125.497,25.7,2537148
2018-03-01T06:00:00Z,11,269039,12.6,380929,12.53,6965.283,9.7,245632,20.4,510931,27.458,19838.975,68.1,9703750,110.65,8082622,189.75,18055411,2.6,135774,13.6643564356,310107.257426,12,306116,20,1336288,154.7,4555827,4.6,191944,15,464072,54.8,2948715,37.3,846509,23.6356435644,536401.742574,80.5,4399859,166.593643564,6756459.71757,97.7643564356,5931773.25743,166.8,23376940,111.8,1912790,183.63,3555307.283,26.7,2537177
2018-03-01T07:00:00Z,10,269050,18.3,380945,11.61,6977.293,5.5,245638,12.9,510949,31.297,19865.596,91,9703830,86.467,8082718,187.467,18055598,2.6,135777,12.3821782178,310120.811881,8.7,306125,15.1,1336308,137,4555976,4.2,191949,14.4,464087,52.3,2948765,33.8,846546,21.4178217822,536425.188119,67.3,4399937,149.514821782,6756622.78412,92.6821782178,5931869.81188,161.8,23377112,96,1912894,157.21,3555477.293,25.4,2537207
2018-03-01T08:00:00Z,20,269059,10.1,380957,10.86,6988.448,6.2,245644,15.9,510966,24.248,19893.52,76.2,9703907,90.85,8082814,187.05,18055780,2.5,135780,12.2722772277,310134.366337,9.2,306135,15,1336326,118.6,4556108,3.7,191952,13.9,464098,50.4,2948815,33.5,846583,21.2277227723,536448.633663,56.2,4399992,130.575722772,6756758.15366,86.7722772277,5931958.36634,152.2,23377280,97.2,1912992,153.16,3555634.448,21.6,2537229
2018-03-01T09:00:00Z,11,269078,10.2,380968,9.713,6996.984,6.6,245650,6.8,510973,24.527,19917.994,64.6,9703975,68.517,8082883,144.117,18055936,3.4,135782,11.3930693069,310146.089109,8.7,306143,14.3,1336342,124.6,4556232,3.7,191956,11.7,464112,47.3,2948865,31.1,846615,19.7069306931,536468.910891,51.4,4400042,121.633930693,6756882.90489,81.1930693069,5932045.08911,148.6,23377432,95.2,1913084,140.913,3555770.984,19.1,2537252
2018-03-01T10:00:00Z,10,269088,12.1,380979,9.143,7007.327,4.4,245655,8.3,510980,23.257,19943.549,61.8,9704038,64.533,8082949,136.333,18056075,2,135784,11.2099009901,310157.445545,8.6,306152,15.1,1336356,121,4556357,3.4,191959,14.1,464123,43.5,2948910,30.6,846646,19.3900990099,536488.554455,49.5,4400092,121.34709901,6757003.10346,75.7099009901,5932123.44554,144.6,23377588,92.4,1913176,138.343,3555908.327,19,2537272
2018-03-01T11:00:00Z,11,269098,11.9,380989,9.625,7017.054,4.2,245660,7,510987,24.193,19964.305,63.2,9704102,61.383,8083010,135.583,18056210,2.1,135786,11.0267326733,310168.80198,8.4,306160,13.8,1336370,137.4,4556492,3.2,191963,14,464137,44.5,2948955,30.1,846677,19.0732673267,536508.19802,49,4400142,120.066267327,6757121.50302,78.6267326733,5932201.80198,157.4,23377744,147.2,1913294,191.525,3556070.054,21,2537292
2018-03-01T12:00:00Z,10,269108,9.3,380999,9.912,7027.024,4.4,245665,6.5,510993,24.107,19990.205,57.4,9704162,81.967,8083093,149.367,18056363,2,135788,10.9534653465,310180.158416,5.6,306167,13.4,1336389,145.9,4556643,3.2,191966,30.8,464148,44.3,2949000,29.9,846708,18.9465346535,536527.841584,48.6,4400192,135.853534653,6757247.04658,75.8534653465,5932280.15842,200.5,23377932,179,1913470,217.912,3556287.024,18.6,2537312
2018-03-01T13:00:00Z,7,269117,8.8,381009,10.092,7037.145,6.2,245671,8.8,511001,31.067,20016.107,64.6,9704227,83.217,8083178,154.817,18056522,2,135791,13.5178217822,310191.881188,5.8,306173,14,1336407,154.5,4556799,4.2,191970,12.3,464162,47.5,2949045,36.9,846740,23.3821782178,536548.118812,50,4400242,130.749178218,6757375.22581,84.2178217822,5932361.88119,189.1,23378126,179,1913656,222.892,3556517.145,21.2,2537334
2018-03-01T14:00:00Z,11,269126,12.6,381021,9.918,7047.63,5.7,245677,7.4,511008,28.793,20047.502,65.9,9704295,83.167,8083258,160.067,18056679,1.9,135793,13.4811881188,310204.70297,6,306179,13.8,1336422,156.9,4556967,4,191974,14.2,464177,61.1,2949101,36.8,846775,23.3188118812,536570.29703,56.3,4400297,136.411811881,6757513.79903,106.481188119,5932455.70297,191.1,23378322,185.1,1913840,230.718,3556746.63,30,2537357
2018-03-01T15:00:00Z,15,269138,11.8,381031,11.047,7058.019,6.7,245683,18.7,511021,29.658,20078.938,59.8,9704367,92.7,8083349,167.5,18056854,2.2,135795,15.6059405941,310218.257426,5.1,306185,13.7,1336435,167,4557139,4.4,191979,16.1,464193,63.7,2949161,42.6,846812,26.9940594059,536593.742574,51.5,4400348,137.952059406,6757648.68057,105.005940594,5932561.25743,213.6,23378532,186.4,1914032,244.147,3556989.019,23.5,2537387
2018-03-01T16:00:00Z,9,269153,30.3,381041,11.068,7069.302,5.8,245689,8.2,511031,29.29,20105.357,83.6,9704437,92.767,8083441,185.367,18057031,2.5,135797,13.6277227723,310232.544554,4.8,306190,12.3,1336449,168,4557310,4.3,191983,15.6,464208,51.8,2949216,37.2,846851,23.5722772277,536618.455446,54.4,4400402,135.162277228,6757782.81245,89.4277227723,5932658.54455,230,23378750,180.8,1914217,245.268,3557220.302,21.5,2537413
2018-03-01T17:00:00Z,14,269163,10.1,381056,11.015,7080.916,8,245697,8.5,511041,21.627,20131.539,60.7,9704498,86.633,8083529,161.333,18057190,9.5,135804,12.3455445545,310245,5.5,306195,12.6,1336462,161.7,4557475,4.3,191987,14.9,464223,79.9,2949271,33.7,846885,21.3544554455,536640,51.7,4400457,122.181455446,6757913.539,140.745544554,5932767,203.8,23378974,188.5,1914406,235.915,3557462.916,39,2537447
2018-03-01T18:00:00Z,9,269172,9.9,381066,9.97,7091.34,7.4,245703,7.5,511051,26.495,20154.73,54.3,9704558,105.05,8083626,168.35,18057356,2.4,135813,14.6900990099,310258.920792,4.7,306200,12.6,1336474,168.7,4557659,4.2,191991,16.7,464242,54.4,2949328,40.1,846923,25.4099009901,536664.079208,54.6,4400512,135.80490099,6758046.80921,122.19009901,5932881.92079,218.6,23379190,186.6,1914596,230.27,3557698.34,50.7,2537482
2018-03-01T19:00:00Z,7,269179,11.5,381076,10.765,7102.203,7.8,245710,12.2,511059,24.827,20181.469,56.2,9704618,91.167,8083724,154.367,18057521,7.5,135820,7.80297029703,310270.643564,4.5,306205,13.5,1336488,160.1,4557830,4.2,191996,14.6,464257,52.9,2949383,21.3,846955,13.497029703,536684.356436,59.5,4400564,125.924029703,6758174.82544,89.902970297,5932980.64356,225.8,23379388,190.1,1914777,241.065,3557925.203,21.7,2537507
2018-03-01T20:00:00Z,18,269190,9.2,381086,10.475,7113.187,17.2,245717,16.6,511073,24.952,20206.428,55.7,9704679,108.35,8083823,182.05,18057692,2.1,135823,7.5099009901,310278.70297,4.5,306210,18.9,1336504,178.8,4557999,5.1,192000,20.4,464273,54.1,2949434,20.5,846977,12.9900990099,536698.29703,59.8,4400623,137.04209901,6758304.72503,90.2099009901,5933068.70297,195.7,23379594,174.3,1914963,237.375,3558162.187,26.5,2537533
2018-03-01T21:00:00Z,8,269205,9.4,381096,11.05,7124.003,7.5,245724,7.8,511083,25.668,20231.125,55,9704736,94.3,8083923,157.3,18057864,2.2,135825,7.4,310286.029703,7.5,306215,18.6,1336520,168.8,4558167,3.8,192004,13.2,464292,50.9,2949489,20.2,846997,12.8,536710.970297,54.9,4400684,125.168,6758438.0953,110,5933162.0297,216.1,23379806,176.4,1915140,223.45,3558386.003,49.5,2537562
2018-03-01T22:00:00Z,8,269213,9.5,381106,11.547,7136.238,7.5,245732,8.6,511091,26.478,20257.242,59.1,9704797,101.5,8084015,168.6,18058025,3.8,135828,8.68217821782,310294.089109,6.3,306221,16.7,1336539,174.8,4558346,4.7,192009,13.7,464307,55.8,2949539,23.7,847019,15.0178217822,536724.910891,56.3,4400734,128.195821782,6758562.15289,96.1821782178,5933254.08911,270,23380038,184.2,1915320,232.347,3558615.238,27.9,2537593
