Time (UTC),1915Hall.kW,1915Hall.kWh,1927Hall.kW,1927Hall.kWh,1937Feinberg.kW,1937Feinberg.kWh,1938Hall.kW,1938Hall.kWh,1939Hall.kW,1939Hall.kWh,Blair.kW,Blair.kWh,Bloomberg.kW,Bloomberg.kWh,Butler.kW,Butler.kWh,Butler.wv.kW,Butler.wv.kWh,Buyers.kW,Buyers.kWh,CampbellR.kW,CampbellR.kWh,DodgeOsborn.kW,DodgeOsborn.kWh,Edwards.kW,Edwards.kWh,Forbes.kW,Forbes.kWh,Gauss.kW,Gauss.kWh,Hamilton.kW,Hamilton.kWh,Holder.kW,Holder.kWh,JolineCampbell.kW,JolineCampbell.kWh,JolineCampbellM.kW,JolineCampbellM.kWh,Little.kW,Little.kWh,Mathey.wv.kW,Mathey.wv.kWh,Rocky.wv.kW,Rocky.wv.kWh,Whitman.kW,Whitman.kWh,Wilcox.kW,Wilcox.kWh,Wilson.wv.kW,Wilson.wv.kWh,Witherspoon.kW,Witherspoon.kWh
2019-02-01T04:00:00Z,9,350112,10.3,466459,9.707,7746.362,8.4,292593,13.9,603637,32.863,22778.637,60.5,205355,73.733,8765563,143.233,9321030,3.1,168786,14.1405940594,402219.673267,14.1,361880,16.1,1444197,154.5,5747759,4.7,225768,16.9,588224,59.9,3399745,38.6,1097951,24.4594059406,695731.326733,58.7,4820129,149.022405941,7571059.96373,102.740594059,6719410.67327,142,24795778,97.9,3023588,159.007,4981671.362,25.6,2748660
2019-02-01T05:00:00Z,9,350112,8.9,466459,9.707,7749.792,8.4,292595,13.9,603640,32.863,22784.209,60.5,205360,77.983,8765568,147.483,9321040,3.1,168786,15.0930693069,402221.50495,14.1,361880,16.1,1444197,165.9,5747764,4.3,225768,14.8,588224,58,3399750,41.2,1097956,26.1069306931,695734.49505,58.7,4820134,148.569930693,7571073.70405,101.793069307,6719422.50495,127.7,24795784,97.9,3023594,157.207,4981685.792,25.6,2748665
2019-02-01T06:00:00Z,9,350122,8.6,466468,10.553,7759.698,8,292603,5.3,603649,31.577,22815.889,91.7,205421,74.3,8765640,175,9321183,7,168792,12.8217821782,402234.326733,11.5,361891,11.4,1444212,157.3,5747920,4,225772,15.5,588239,56.1,3399806,35,1097991,22.1782178218,695756.673267,57.2,4820189,137.855217822,7571212.56227,105.121782178,6719527.32673,131.5,24795912,103.4,3023698,151.353,4981840.698,29.2,2748695
2019-02-01T07:00:00Z,9,350129,8.8,466478,9.573,7769.997,8.9,292610,5.4,603654,33.437,22852.195,63.4,205483,70.217,8765712,142.617,9321324,2.5,168795,12.3089108911,402247.514851,11.4,361902,11.5,1444224,152.2,5748075,4.3,225776,15.4,588255,57.7,3399867,33.6,1098027,21.2910891089,695779.485149,49.5,4820239,131.128089109,7571349.68015,96.3089108911,6719630.51485,147.9,24796040,97.1,3023794,145.473,4981983.997,23.8,2748721
2019-02-01T08:00:00Z,8,350137,8.7,466485,9.415,7779.507,7.5,292618,5.3,603660,30.25,22882.498,56.8,205539,70.833,8765784,135.633,9321460,2.4,168797,12.0158415842,402259.970297,8.8,361912,11.1,1444237,138.8,5748219,3.9,225780,15.2,588270,53.8,3399925,32.8,1098061,20.7841584158,695801.029703,47.7,4820289,125.034158416,7571479.5277,93.8158415842,6719726.9703,118,24796162,86.4,3023891,130.015,4982125.507,25.6,2748745
2019-02-01T09:00:00Z,8,350147,8.4,466494,9.055,7788.434,7.4,292626,5.7,603665,29.183,22909.361,54.4,205599,63.917,8765851,126.317,9321597,2.5,168800,12.0891089109,402272.792079,11.2,361924,11.4,1444247,146,5748359,3.6,225784,14.8,588285,55.6,3399977,33,1098096,20.9108910891,695823.207921,46.8,4820339,123.093891089,7571603.56892,93.6891089109,6719818.79208,117.3,24796278,83.2,3023979,128.555,4982260.434,23.5,2748769
2019-02-01T10:00:00Z,8,350154,9,466503,8.568,7797.066,8.6,292633,5,603674,29.267,22941.311,54.5,205655,65.117,8765916,127.617,9321725,2.7,168802,11.7594059406,402285.613861,10.9,361934,11.3,1444258,134.3,5748495,3.7,225788,14.8,588300,50.2,3400027,32.1,1098131,20.3405940594,695845.386139,46.7,4820386,122.407594059,7571730.69714,88.0594059406,6719906.61386,120.2,24796400,88.2,3024076,133.968,4982405.066,23.4,2748792
2019-02-01T11:00:00Z,8,350162,9.4,466513,8.235,7805.618,7.3,292640,5.6,603680,29,22967.541,54.9,205710,65.383,8765979,128.283,9321851,2.6,168805,12.3089108911,402296.970297,12.3,361944,12.3,1444269,145.2,5748641,3.7,225791,14.8,588315,51.2,3400077,33.6,1098162,21.2910891089,695865.029703,46.4,4820432,123.791089109,7571848.5707,88.7089108911,6719993.9703,122.5,24796516,143.4,3024200,189.935,4982573.618,22.6,2748815
2019-02-01T12:00:00Z,9,350170,9.8,466520,8.57,7814.155,7.5,292648,4.9,603685,28.703,22999.42,55.7,205765,79.65,8766061,144.35,9321996,2.6,168807,11.8693069307,402309.425743,10.8,361954,10.9,1444282,145.9,5748795,3.7,225795,14.8,588329,50.8,3400132,32.4,1098196,20.5306930693,695886.574257,46.4,4820479,121.333693069,7571975.99426,87.9693069307,6720084.42574,145.9,24796662,159.4,3024349,204.67,4982765.155,22.7,2748836
2019-02-01T13:00:00Z,6,350177,7.2,466529,8.32,7821.676,6.3,292656,5.8,603690,37.807,23032.139,55.5,205820,77.517,8766139,139.017,9322136,3.2,168810,12.6386138614,402321.148515,6.7,361962,10.1,1444292,171.5,5748960,3.5,225799,15.4,588345,50.3,3400182,34.5,1098228,21.8613861386,695906.851485,46.3,4820524,131.468386139,7572099.99049,93.3386138614,6720175.14851,147.8,24796812,173.4,3024515,211.22,4982972.676,27.2,2748862
